loan_id,customer_id,disbursement_date,loan_amount,interest_rate,tenure_months,loan_type,emi_amount,current_status
LN12557,CUST01206,2021-12-28,2202221,12.46,24,Education Loan,104139,CLOSED
LN12558,CUST05483,2024-01-23,537728,9.98,24,Home Loan,24808,ACTIVE
LN12559,CUST03795,2023-10-23,140754,11.77,12,Education Loan,12490,CLOSED
LN12560,CUST06332,2022-01-14,819230,11.48,60,Home Loan,18008,DELINQUENT
LN12561,CUST03173,2024-12-04,2660435,12.63,120,Home Loan,39144,DELINQUENT
LN12562,CUST08897,2021-07-25,1542734,11.68,60,Business Loan,34068,ACTIVE
LN12563,CUST02376,2024-08-17,585619,15.3,120,Business Loan,9555,DELINQUENT
LN12564,CUST03686,2024-08-01,484076,15.03,24,Auto Loan,23478,ACTIVE
LN12565,CUST01239,2020-06-20,653980,13.73,36,Personal Loan,22265,CLOSED
LN12566,CUST03424,2020-03-31,1584195,10.14,180,Education Loan,17159,ACTIVE
LN12567,CUST00726,2021-01-21,2982494,11.73,36,Personal Loan,98677,ACTIVE
LN12568,CUST04700,2024-09-09,1595126,16.88,120,Business Loan,27601,ACTIVE
LN12569,CUST03609,2022-04-13,387265,15.66,24,Personal Loan,18898,DELINQUENT
LN12570,CUST00946,2023-07-12,533925,17.07,180,Auto Loan,8243,ACTIVE
LN12571,CUST06863,2023-08-21,1814780,10.42,36,Home Loan,58916,ACTIVE
LN12572,CUST07225,2024-08-25,699590,9.8,180,Business Loan,7432,CLOSED
LN12573,CUST08297,2023-08-02,1383393,11.04,120,Business Loan,19087,ACTIVE
LN12574,CUST03273,2024-05-03,291835,14.74,24,Personal Loan,14114,ACTIVE
LN12575,CUST00741,2021-11-29,746450,11.18,180,Education Loan,8568,DELINQUENT
LN12576,CUST09972,2020-07-21,1555468,17.87,12,Education Loan,142509,ACTIVE
LN12577,CUST03506,2023-11-01,795374,14.67,24,Home Loan,38440,ACTIVE
LN12578,CUST00743,2022-06-01,219183,14.81,120,Business Loan,3510,CLOSED
LN12579,CUST00657,2020-05-02,105520,10.09,120,Home Loan,1399,ACTIVE
LN12580,CUST05164,2023-06-21,598640,12.67,24,Education Loan,28367,ACTIVE
LN12581,CUST09958,2021-12-23,1848138,15.44,240,Personal Loan,24939,CLOSED
LN12582,CUST06084,2024-12-18,160879,9.15,12,Personal Loan,14080,DELINQUENT
LN12583,CUST00547,2023-12-30,552754,10.99,120,Business Loan,7611,DELINQUENT
LN12584,CUST00128,2023-03-16,209295,16.87,60,Auto Loan,5186,ACTIVE
LN12585,CUST09475,2021-05-13,466564,16.35,12,Education Loan,42409,ACTIVE
LN12586,CUST00096,2023-03-10,1634148,14.86,120,Personal Loan,26224,ACTIVE
LN12587,CUST08195,2023-02-05,1549601,14.7,60,Home Loan,36621,ACTIVE
LN12588,CUST04855,2022-12-01,1574795,17.32,48,Home Loan,45701,ACTIVE
LN12589,CUST05596,2021-04-17,660587,18.33,120,Personal Loan,12043,ACTIVE
LN12590,CUST01992,2022-07-14,258164,18.45,36,Education Loan,9391,ACTIVE
LN12591,CUST08532,2023-08-02,579261,13.4,240,Auto Loan,6952,ACTIVE
LN12592,CUST04422,2024-05-27,390934,10.04,120,Business Loan,5174,ACTIVE
LN12593,CUST05926,2023-01-13,399936,15.61,36,Education Loan,13983,DELINQUENT
LN12594,CUST01916,2021-03-31,648663,9.16,36,Home Loan,20675,ACTIVE
LN12595,CUST09245,2021-06-09,336417,16.49,180,Business Loan,5056,ACTIVE
LN12596,CUST05175,2023-05-14,187403,17.95,60,Education Loan,4753,ACTIVE
LN12597,CUST06133,2021-07-16,653252,9.92,36,Auto Loan,21054,CLOSED
LN12598,CUST04286,2023-06-08,106351,13.92,60,Auto Loan,2470,ACTIVE
LN12599,CUST09992,2023-11-27,495525,9.06,24,Home Loan,22651,ACTIVE
LN12600,CUST02749,2021-04-21,792593,10.7,12,Business Loan,69939,DELINQUENT
LN12601,CUST06671,2024-04-21,1610035,14.72,12,Auto Loan,145106,ACTIVE
LN12602,CUST05139,2021-08-26,252921,8.65,12,Business Loan,22077,CLOSED
LN12603,CUST02336,2020-12-24,744299,10.99,36,Auto Loan,24363,DELINQUENT
LN12604,CUST02888,2020-05-22,305625,17.45,24,Personal Loan,15176,CLOSED
LN12605,CUST00608,2020-07-06,1528664,15.91,48,Education Loan,43252,ACTIVE
LN12606,CUST01063,2023-11-21,223259,17.89,48,Auto Loan,6545,ACTIVE
LN12607,CUST05898,2020-03-11,605988,11.89,48,Business Loan,15925,CLOSED
LN12608,CUST09619,2023-10-18,786292,14.89,60,Home Loan,18660,DELINQUENT
LN12609,CUST04854,2020-05-21,462172,15.42,48,Home Loan,12961,ACTIVE
LN12610,CUST03869,2022-12-06,71069,10.1,120,Education Loan,943,ACTIVE
LN12611,CUST05157,2023-09-13,246423,14.8,180,Auto Loan,3415,CLOSED
LN12612,CUST06690,2020-12-28,72620,13.99,120,Personal Loan,1127,DELINQUENT
LN12613,CUST06816,2022-11-28,102412,12.33,24,Business Loan,4836,DELINQUENT
LN12614,CUST04680,2023-12-03,2660833,11.13,240,Home Loan,27700,ACTIVE
LN12615,CUST04178,2021-12-25,671638,15.49,120,Home Loan,11038,DELINQUENT
LN12616,CUST08420,2020-02-06,354332,10.54,60,Home Loan,7622,ACTIVE
LN12617,CUST09707,2022-02-11,187877,16.19,48,Home Loan,5342,ACTIVE
LN12618,CUST00572,2021-01-25,164055,15.83,180,Personal Loan,2390,ACTIVE
LN12619,CUST06282,2020-10-27,270846,16.15,60,Business Loan,6608,ACTIVE
LN12620,CUST01351,2024-02-07,967680,17.34,240,Home Loan,14444,ACTIVE
LN12621,CUST00945,2021-07-31,2455914,16.35,180,Business Loan,36671,CLOSED
LN12622,CUST06128,2022-04-25,352352,16.59,180,Education Loan,5320,CLOSED
LN12623,CUST06640,2020-04-03,112753,16.82,24,Education Loan,5565,DELINQUENT
LN12624,CUST05076,2023-04-26,748793,9.97,36,Education Loan,24150,DEFAULT
LN12625,CUST07132,2022-05-12,1424633,12.24,60,Auto Loan,31863,CLOSED
LN12626,CUST06115,2023-11-28,433092,12.51,24,Home Loan,20490,ACTIVE
LN12627,CUST01239,2022-08-28,933554,12.55,12,Personal Loan,83185,DELINQUENT
LN12628,CUST04682,2023-03-03,677684,14.79,12,Education Loan,61099,DELINQUENT
LN12629,CUST05862,2022-07-25,239189,12.81,12,Business Loan,21342,ACTIVE
LN12630,CUST01863,2023-12-15,1251658,12.67,24,Home Loan,59312,DEFAULT
LN12631,CUST03106,2023-05-24,537290,15.79,48,Business Loan,15169,DELINQUENT
LN12632,CUST02910,2024-03-28,990554,15.51,36,Home Loan,34585,ACTIVE
LN12633,CUST01793,2021-01-15,2602697,11.9,120,Home Loan,37190,ACTIVE
LN12634,CUST06938,2022-02-21,188228,16.39,48,Education Loan,5372,DELINQUENT
LN12635,CUST03377,2020-12-27,608651,9.67,120,Business Loan,7932,ACTIVE
LN12636,CUST04806,2021-08-31,787778,16.17,240,Business Loan,11060,ACTIVE
LN12637,CUST08777,2023-02-13,446794,17.61,240,Auto Loan,6761,DEFAULT
LN12638,CUST08770,2024-09-26,553220,12.2,180,Auto Loan,6710,ACTIVE
LN12639,CUST00958,2024-09-24,264354,14.31,12,Business Loan,23774,DELINQUENT
LN12640,CUST05420,2022-08-22,788585,14.72,36,Auto Loan,27228,DEFAULT
LN12641,CUST02771,2022-05-14,1925370,15.96,180,Education Loan,28224,CLOSED
LN12642,CUST02229,2024-11-10,108684,12.61,36,Personal Loan,3641,ACTIVE
LN12643,CUST01594,2024-03-20,443819,17.78,120,Auto Loan,7934,CLOSED
LN12644,CUST02195,2020-05-09,747777,16.1,12,Business Loan,67881,ACTIVE
LN12645,CUST09287,2021-10-11,2901298,10.78,48,Auto Loan,74675,ACTIVE
LN12646,CUST04499,2020-05-10,1562504,8.6,36,Education Loan,49396,CLOSED
LN12647,CUST03349,2021-07-04,192950,16.77,48,Education Loan,5544,ACTIVE
LN12648,CUST01793,2022-12-25,558651,8.88,12,Home Loan,48823,ACTIVE
LN12649,CUST07278,2024-05-21,2728118,14.13,24,Home Loan,131152,CLOSED
LN12650,CUST03318,2022-01-15,219709,14.0,60,Home Loan,5112,DELINQUENT
LN12651,CUST01960,2022-03-31,506527,14.03,240,Personal Loan,6309,ACTIVE
LN12652,CUST02017,2024-05-26,1418504,12.37,240,Auto Loan,15986,CLOSED
LN12653,CUST02821,2023-07-28,2008540,13.73,12,Home Loan,180085,ACTIVE
LN12654,CUST00793,2024-09-04,1163415,10.15,60,Education Loan,24805,DELINQUENT
LN12655,CUST04681,2023-04-28,74538,12.08,48,Personal Loan,1965,CLOSED
LN12656,CUST06862,2023-02-07,770806,9.62,240,Business Loan,7245,CLOSED
LN12657,CUST01679,2023-01-15,1001596,16.53,120,Personal Loan,17110,DELINQUENT
LN12658,CUST03702,2022-11-19,2462835,16.99,240,Business Loan,36106,ACTIVE
LN12659,CUST07207,2021-03-22,433583,14.05,48,Education Loan,11859,ACTIVE
LN12660,CUST04398,2023-03-11,250000,9.55,24,Home Loan,11484,ACTIVE
LN12661,CUST05519,2023-02-16,1930405,12.25,48,Home Loan,51072,DEFAULT
LN12662,CUST00957,2024-11-09,90196,17.16,12,Business Loan,8233,ACTIVE
LN12663,CUST06196,2023-03-27,88451,8.73,24,Education Loan,4029,ACTIVE
LN12664,CUST09214,2021-02-06,2730287,12.43,60,Business Loan,61328,ACTIVE
LN12665,CUST01885,2024-10-16,105840,16.64,180,Education Loan,1601,ACTIVE
LN12666,CUST02725,2022-06-09,119494,13.96,60,Education Loan,2777,ACTIVE
LN12667,CUST04276,2023-10-17,2843539,11.53,24,Business Loan,133231,ACTIVE
LN12668,CUST03730,2024-07-13,1557254,10.25,48,Personal Loan,39683,CLOSED
LN12669,CUST04581,2021-06-28,89681,12.61,240,Education Loan,1025,CLOSED
LN12670,CUST00885,2023-10-06,962564,8.57,12,Auto Loan,83985,DELINQUENT
LN12671,CUST09311,2023-12-21,590279,13.65,36,Home Loan,20074,ACTIVE
LN12672,CUST06158,2022-11-06,332028,12.67,24,Business Loan,15733,ACTIVE
LN12673,CUST01109,2020-06-05,131747,13.22,240,Personal Loan,1564,DELINQUENT
LN12674,CUST09974,2022-06-03,866212,9.45,60,Auto Loan,18170,ACTIVE
LN12675,CUST08627,2023-03-01,500392,16.1,48,Personal Loan,14206,ACTIVE
LN12676,CUST07821,2022-03-06,442893,17.83,48,Education Loan,12970,ACTIVE
LN12677,CUST02281,2020-07-14,416273,15.74,12,Business Loan,37717,ACTIVE
LN12678,CUST09395,2024-11-26,157863,14.77,180,Home Loan,2184,ACTIVE
LN12679,CUST08518,2021-01-14,293669,12.52,60,Auto Loan,6609,CLOSED
LN12680,CUST07178,2021-04-14,304357,13.8,240,Personal Loan,3740,DELINQUENT
LN12681,CUST02030,2021-03-31,414478,12.61,48,Business Loan,11039,DELINQUENT
LN12682,CUST06231,2022-09-22,2925425,10.23,36,Education Loan,94711,ACTIVE
LN12683,CUST05763,2022-12-21,2750650,10.22,36,Personal Loan,89040,ACTIVE
LN12684,CUST05172,2024-03-03,1454687,13.95,120,Business Loan,22542,ACTIVE
LN12685,CUST03938,2020-02-24,2153458,10.72,36,Personal Loan,70216,ACTIVE
LN12686,CUST01592,2021-09-18,310528,14.22,48,Personal Loan,8519,CLOSED
LN12687,CUST06192,2021-08-31,81037,15.56,36,Education Loan,2831,CLOSED
LN12688,CUST05471,2022-09-14,633586,8.98,60,Personal Loan,13146,CLOSED
LN12689,CUST08102,2024-04-21,127568,10.44,36,Auto Loan,4142,DELINQUENT
LN12690,CUST04611,2024-10-03,2126094,11.96,180,Personal Loan,25462,ACTIVE
LN12691,CUST03909,2021-04-26,467301,8.95,36,Business Loan,14849,DELINQUENT
LN12692,CUST06527,2020-01-25,209105,14.78,36,Home Loan,7226,ACTIVE
LN12693,CUST01901,2022-07-03,275553,15.1,240,Auto Loan,3648,DELINQUENT
LN12694,CUST06032,2023-10-12,2879750,13.24,240,Business Loan,34232,ACTIVE
LN12695,CUST07929,2023-08-05,112307,15.46,36,Home Loan,3918,ACTIVE
LN12696,CUST00189,2020-03-17,736385,15.78,12,Education Loan,66736,ACTIVE
LN12697,CUST05456,2023-02-27,1765599,14.26,24,Personal Loan,84988,ACTIVE
LN12698,CUST08849,2021-09-21,545313,15.85,12,Home Loan,49438,ACTIVE
LN12699,CUST08905,2020-03-23,57751,17.78,240,Personal Loan,881,DEFAULT
LN12700,CUST06377,2024-05-29,572928,12.74,60,Education Loan,12959,DELINQUENT
LN12701,CUST07158,2021-03-27,1102881,8.54,36,Personal Loan,34835,CLOSED
LN12702,CUST07847,2024-08-16,1503585,11.85,48,Personal Loan,39484,ACTIVE
LN12703,CUST09999,2024-07-09,446914,17.94,180,Education Loan,7177,ACTIVE
LN12704,CUST04533,2024-06-27,2375093,11.72,24,Personal Loan,111493,CLOSED
LN12705,CUST08846,2023-12-01,170844,11.89,240,Personal Loan,1868,ACTIVE
LN12706,CUST02840,2020-01-22,2893241,13.97,180,Business Loan,38472,ACTIVE
LN12707,CUST02758,2022-02-22,121938,9.77,240,Business Loan,1158,ACTIVE
LN12708,CUST02994,2021-07-02,701791,11.54,60,Education Loan,15448,DELINQUENT
LN12709,CUST04751,2020-02-02,742261,10.32,24,Personal Loan,34361,ACTIVE
LN12710,CUST08272,2024-11-29,95062,18.42,60,Personal Loan,2435,ACTIVE
LN12711,CUST01262,2021-03-06,2051165,9.48,60,Business Loan,43058,ACTIVE
LN12712,CUST05152,2021-04-23,290815,10.98,24,Auto Loan,13551,ACTIVE
LN12713,CUST01748,2024-12-01,417814,8.83,120,Business Loan,5254,DELINQUENT
LN12714,CUST08562,2023-09-19,1141114,13.18,120,Education Loan,17159,ACTIVE
LN12715,CUST02371,2023-11-22,2877339,14.67,120,Business Loan,45841,DEFAULT
LN12716,CUST08364,2022-03-06,285866,14.84,180,Business Loan,3969,CLOSED
LN12717,CUST09143,2022-12-28,370465,11.15,36,Home Loan,12154,DELINQUENT
LN12718,CUST06449,2022-04-07,1279990,16.81,240,Auto Loan,18590,DEFAULT
LN12719,CUST08381,2024-02-24,51992,13.77,24,Education Loan,2490,ACTIVE
LN12720,CUST02465,2023-01-07,391775,17.47,36,Auto Loan,14059,ACTIVE
LN12721,CUST06081,2021-11-02,392389,17.87,36,Business Loan,14160,ACTIVE
LN12722,CUST05343,2023-10-25,189774,18.48,60,Home Loan,4868,ACTIVE
LN12723,CUST07254,2020-08-13,185886,10.24,12,Home Loan,16363,ACTIVE
LN12724,CUST09043,2023-08-26,2409528,14.73,48,Business Loan,66729,ACTIVE
LN12725,CUST03975,2020-05-29,155890,9.55,60,Auto Loan,3277,CLOSED
LN12726,CUST09886,2024-12-10,402015,17.37,120,Home Loan,7081,ACTIVE
LN12727,CUST06980,2024-05-13,736027,10.43,24,Home Loan,34110,DELINQUENT
LN12728,CUST08357,2022-10-06,1647096,11.31,24,Auto Loan,77004,ACTIVE
LN12729,CUST04943,2022-01-20,2353419,16.97,12,Home Loan,214609,CLOSED
LN12730,CUST10000,2020-02-08,698788,16.22,24,Auto Loan,34288,ACTIVE
LN12731,CUST00203,2023-01-17,1072230,12.31,24,Auto Loan,50628,ACTIVE
LN12732,CUST05561,2024-05-01,194229,15.17,24,Education Loan,9433,ACTIVE
LN12733,CUST02139,2023-07-23,1377583,8.91,180,Personal Loan,13898,DELINQUENT
LN12734,CUST08978,2022-06-09,2844944,8.93,240,Auto Loan,25468,ACTIVE
LN12735,CUST04773,2022-02-11,2794012,9.42,24,Home Loan,128182,ACTIVE
LN12736,CUST04608,2021-12-19,1989668,12.55,24,Education Loan,94172,ACTIVE
LN12737,CUST05917,2022-04-20,143433,18.26,24,Education Loan,7178,ACTIVE
LN12738,CUST05949,2020-03-02,2459881,11.36,24,Home Loan,115061,DELINQUENT
LN12739,CUST08656,2022-08-28,1769151,11.06,240,Personal Loan,18333,ACTIVE
LN12740,CUST02892,2023-07-01,677860,16.85,120,Education Loan,11716,CLOSED
LN12741,CUST06775,2023-11-03,704011,9.38,48,Personal Loan,17646,ACTIVE
LN12742,CUST04691,2023-11-27,311454,8.72,24,Business Loan,14188,CLOSED
LN12743,CUST01348,2022-10-21,364771,10.8,60,Personal Loan,7894,DELINQUENT
LN12744,CUST06243,2024-07-25,759958,16.07,12,Home Loan,68976,ACTIVE
LN12745,CUST04349,2024-08-10,2207322,13.2,120,Home Loan,33218,CLOSED
LN12746,CUST01042,2024-04-07,556837,9.0,48,Auto Loan,13856,DELINQUENT
LN12747,CUST06127,2021-08-07,1646849,9.68,24,Business Loan,75750,ACTIVE
LN12748,CUST04089,2021-12-24,104280,17.53,60,Auto Loan,2621,DELINQUENT
LN12749,CUST08698,2022-12-24,865489,8.9,240,Education Loan,7731,ACTIVE
LN12750,CUST02309,2023-11-01,226845,16.33,12,Personal Loan,20617,ACTIVE
LN12751,CUST06702,2021-11-29,55506,11.63,36,Auto Loan,1833,CLOSED
LN12752,CUST09287,2023-02-11,705845,15.13,12,Home Loan,63751,ACTIVE
LN12753,CUST07774,2022-04-04,2346543,17.14,36,Business Loan,83824,ACTIVE
LN12754,CUST07209,2022-05-02,890276,13.01,240,Personal Loan,10436,ACTIVE
LN12755,CUST07779,2023-11-19,677637,9.79,24,Personal Loan,31203,ACTIVE
LN12756,CUST02481,2024-12-09,609610,13.93,12,Auto Loan,54715,DEFAULT
LN12757,CUST03233,2024-07-15,1189124,12.62,24,Auto Loan,56321,ACTIVE
LN12758,CUST05110,2020-05-11,171337,10.63,36,Home Loan,5579,CLOSED
LN12759,CUST05395,2024-08-03,361533,14.94,12,Business Loan,32621,ACTIVE
LN12760,CUST08928,2021-10-18,1371292,16.54,60,Auto Loan,33741,ACTIVE
LN12761,CUST04771,2024-04-21,318419,11.69,60,Personal Loan,7033,ACTIVE
LN12762,CUST02790,2023-04-27,238176,13.37,48,Auto Loan,6433,ACTIVE
LN12763,CUST07020,2023-02-02,70892,8.57,180,Home Loan,701,CLOSED
LN12764,CUST06011,2022-07-17,500820,15.13,120,Education Loan,8119,DEFAULT
LN12765,CUST09824,2020-12-24,427608,14.2,48,Home Loan,11727,ACTIVE
LN12766,CUST09610,2020-11-27,162889,10.28,12,Education Loan,14341,CLOSED
LN12767,CUST04807,2020-12-29,62195,9.36,120,Personal Loan,800,ACTIVE
LN12768,CUST09391,2020-11-20,478322,16.38,240,Education Loan,6791,ACTIVE
LN12769,CUST05850,2022-11-19,359055,14.92,48,Education Loan,9978,ACTIVE
LN12770,CUST04678,2020-11-29,566016,12.8,60,Business Loan,12820,ACTIVE
LN12771,CUST02430,2023-07-03,217772,13.38,120,Home Loan,3300,CLOSED
LN12772,CUST07273,2020-08-15,2623520,16.97,240,Home Loan,38421,ACTIVE
LN12773,CUST08916,2020-08-05,544489,10.67,180,Personal Loan,6076,DELINQUENT
LN12774,CUST04234,2024-07-07,781469,16.56,48,Personal Loan,22371,DEFAULT
LN12775,CUST07250,2020-09-24,2881060,17.85,60,Business Loan,72925,ACTIVE
LN12776,CUST02051,2024-03-02,157961,8.71,240,Personal Loan,1391,DEFAULT
LN12777,CUST08277,2021-05-07,195918,11.15,12,Auto Loan,17329,CLOSED
LN12778,CUST06157,2020-09-13,159306,8.57,24,Education Loan,7246,CLOSED
LN12779,CUST09530,2021-12-13,215958,13.11,48,Auto Loan,5805,ACTIVE
LN12780,CUST00425,2020-07-09,2496066,11.4,180,Education Loan,29000,DELINQUENT
LN12781,CUST06854,2023-01-18,238474,16.07,12,Business Loan,21644,ACTIVE
LN12782,CUST00438,2022-11-22,195164,9.91,48,Home Loan,4941,DEFAULT
LN12783,CUST04049,2022-05-31,411178,9.11,12,Home Loan,35979,CLOSED
LN12784,CUST00731,2021-08-26,81798,17.53,240,Home Loan,1232,ACTIVE
LN12785,CUST08657,2024-09-09,1098885,9.62,60,Education Loan,23143,ACTIVE
LN12786,CUST08527,2024-01-08,460607,16.35,48,Auto Loan,13136,ACTIVE
LN12787,CUST06548,2021-07-24,547600,14.71,60,Business Loan,12944,DEFAULT
LN12788,CUST02259,2024-01-10,128302,12.31,12,Education Loan,11418,ACTIVE
LN12789,CUST08196,2023-09-29,1991193,10.81,24,Education Loan,92629,CLOSED
LN12790,CUST02843,2020-08-26,147291,15.6,36,Auto Loan,5149,CLOSED
LN12791,CUST02356,2023-10-24,77335,16.43,48,Education Loan,2208,ACTIVE
LN12792,CUST06584,2021-01-03,299629,10.32,36,Home Loan,9713,CLOSED
LN12793,CUST02422,2021-10-10,74845,12.4,24,Personal Loan,3537,ACTIVE
LN12794,CUST08253,2021-05-31,152850,13.84,240,Auto Loan,1882,ACTIVE
LN12795,CUST08368,2024-07-20,194149,13.66,60,Personal Loan,4483,CLOSED
LN12796,CUST00026,2021-01-12,262149,17.62,48,Auto Loan,7648,CLOSED
LN12797,CUST08638,2024-07-19,245647,18.42,36,Personal Loan,8932,CLOSED
LN12798,CUST02635,2024-01-02,805479,15.22,24,Personal Loan,39139,CLOSED
LN12799,CUST09310,2021-07-28,1945249,18.37,60,Home Loan,49788,ACTIVE
LN12800,CUST06860,2021-10-05,2258893,18.01,48,Business Loan,66366,ACTIVE
LN12801,CUST01393,2022-12-21,335452,11.28,36,Personal Loan,11026,ACTIVE
LN12802,CUST04019,2024-02-25,700788,11.41,12,Business Loan,62070,DELINQUENT
LN12803,CUST05930,2024-03-12,94257,11.61,240,Personal Loan,1012,DELINQUENT
LN12804,CUST02925,2020-08-21,2916324,11.0,24,Personal Loan,135923,DELINQUENT
LN12805,CUST04335,2024-03-21,459635,18.17,12,Personal Loan,42176,DELINQUENT
LN12806,CUST06541,2023-11-22,1580610,9.13,36,Home Loan,50358,ACTIVE
LN12807,CUST08978,2024-01-24,576738,14.01,24,Education Loan,27693,ACTIVE
LN12808,CUST02290,2023-12-17,281201,15.71,120,Auto Loan,4659,CLOSED
LN12809,CUST08547,2021-07-23,748123,8.9,48,Business Loan,18581,ACTIVE
LN12810,CUST06987,2024-04-18,453875,11.69,48,Home Loan,11883,ACTIVE
LN12811,CUST06873,2020-06-16,2248953,14.69,180,Business Loan,30999,ACTIVE
LN12812,CUST04479,2020-08-16,818526,17.44,240,Auto Loan,12280,ACTIVE
LN12813,CUST04863,2020-02-11,1941039,16.23,48,Personal Loan,55238,CLOSED
LN12814,CUST01778,2022-04-15,556146,11.77,240,Home Loan,6034,ACTIVE
LN12815,CUST07604,2020-08-23,115934,9.78,12,Education Loan,10180,DELINQUENT
LN12816,CUST08971,2024-05-27,2309524,17.82,36,Education Loan,83286,ACTIVE
LN12817,CUST05170,2022-10-12,2882713,9.51,36,Education Loan,92355,ACTIVE
LN12818,CUST05970,2021-08-29,781285,15.43,24,Business Loan,38041,CLOSED
LN12819,CUST02740,2021-12-11,723693,17.23,120,Education Loan,12683,CLOSED
LN12820,CUST02915,2021-02-17,744165,12.59,36,Education Loan,24927,CLOSED
LN12821,CUST00930,2022-03-27,924456,12.07,120,Home Loan,13300,ACTIVE
LN12822,CUST07959,2020-01-06,1386381,12.02,36,Auto Loan,46060,CLOSED
LN12823,CUST09992,2020-02-28,81114,15.03,24,Home Loan,3934,ACTIVE
LN12824,CUST01633,2020-08-14,2214577,18.24,60,Auto Loan,56525,ACTIVE
LN12825,CUST00728,2024-05-21,110080,18.22,240,Auto Loan,1717,ACTIVE
LN12826,CUST04004,2021-12-11,111201,10.6,12,Auto Loan,9807,ACTIVE
LN12827,CUST02793,2023-10-30,517197,18.34,180,Personal Loan,8455,DEFAULT
LN12828,CUST00553,2021-08-09,396825,9.44,120,Business Loan,5121,ACTIVE
LN12829,CUST09121,2023-11-08,1541901,9.31,180,Home Loan,15924,DEFAULT
LN12830,CUST08908,2021-02-04,714486,14.53,120,Personal Loan,11322,ACTIVE
LN12831,CUST06939,2023-11-26,606423,12.75,48,Business Loan,16193,CLOSED
LN12832,CUST06739,2023-03-09,1446194,8.61,24,Home Loan,65810,ACTIVE
LN12833,CUST09897,2023-07-27,658585,14.56,48,Personal Loan,18182,ACTIVE
LN12834,CUST05664,2023-01-23,1663870,9.37,180,Education Loan,17244,CLOSED
LN12835,CUST04147,2022-05-20,505058,9.23,240,Business Loan,4619,DELINQUENT
LN12836,CUST00264,2023-03-21,373519,16.16,240,Education Loan,5241,ACTIVE
LN12837,CUST02936,2023-01-11,227726,11.11,12,Personal Loan,20138,ACTIVE
LN12838,CUST09438,2023-05-23,549024,15.61,24,Business Loan,26779,CLOSED
LN12839,CUST00473,2021-07-08,471832,11.89,48,Home Loan,12399,ACTIVE
LN12840,CUST02511,2021-06-22,1615426,14.68,120,Business Loan,25746,ACTIVE
LN12841,CUST03711,2020-12-06,145978,13.06,240,Auto Loan,1716,ACTIVE
LN12842,CUST06276,2020-02-29,254058,18.33,24,Business Loan,12724,ACTIVE
LN12843,CUST02166,2020-10-06,177332,15.83,48,Home Loan,5010,ACTIVE
LN12844,CUST00534,2023-10-14,83370,15.96,120,Personal Loan,1394,ACTIVE
LN12845,CUST01103,2020-01-04,147521,13.74,24,Education Loan,7064,ACTIVE
LN12846,CUST03847,2021-02-07,91126,15.96,36,Personal Loan,3201,CLOSED
LN12847,CUST08790,2022-04-19,1178808,18.11,120,Business Loan,21323,DELINQUENT
LN12848,CUST08844,2021-06-02,213272,16.6,240,Home Loan,3063,CLOSED
LN12849,CUST03466,2020-09-13,793984,10.33,120,Education Loan,10638,CLOSED
LN12850,CUST08631,2023-06-14,2394149,13.62,48,Auto Loan,64968,DELINQUENT
LN12851,CUST04292,2020-08-20,523313,9.95,120,Personal Loan,6901,DELINQUENT
LN12852,CUST09123,2024-11-02,162377,10.22,36,Auto Loan,5256,CLOSED
LN12853,CUST02837,2023-11-10,1841165,10.27,120,Education Loan,24607,ACTIVE
LN12854,CUST06620,2020-09-02,353902,14.74,36,Home Loan,12223,ACTIVE
LN12855,CUST04473,2024-11-14,199179,12.19,12,Education Loan,17714,ACTIVE
LN12856,CUST04273,2023-11-16,293345,10.46,24,Personal Loan,13598,DELINQUENT
LN12857,CUST01504,2022-09-22,210869,9.39,60,Home Loan,4417,ACTIVE
LN12858,CUST00633,2020-06-08,1244671,8.77,180,Education Loan,12454,ACTIVE
LN12859,CUST09196,2020-06-13,98151,16.2,24,Personal Loan,4815,ACTIVE
LN12860,CUST02057,2022-05-29,2069457,11.16,48,Home Loan,53647,ACTIVE
LN12861,CUST04025,2022-10-30,225344,15.76,60,Auto Loan,5451,CLOSED
LN12862,CUST00008,2021-07-31,1518319,18.22,120,Business Loan,27573,ACTIVE
LN12863,CUST01956,2020-01-02,1266249,11.18,120,Business Loan,17571,ACTIVE
LN12864,CUST02794,2021-05-28,207266,9.41,60,Home Loan,4343,ACTIVE
LN12865,CUST08152,2020-02-19,315796,11.42,180,Home Loan,3673,CLOSED
LN12866,CUST06891,2022-07-15,98598,12.23,180,Personal Loan,1197,ACTIVE
LN12867,CUST00964,2022-06-30,2886776,15.16,180,Personal Loan,40719,ACTIVE
LN12868,CUST02743,2020-07-03,2939296,13.72,180,Business Loan,38592,ACTIVE
LN12869,CUST05828,2020-01-27,158847,12.82,180,Business Loan,1991,ACTIVE
LN12870,CUST07678,2023-11-17,251166,17.29,180,Home Loan,3917,DEFAULT
LN12871,CUST02097,2024-12-25,74208,13.08,240,Personal Loan,873,DELINQUENT
LN12872,CUST06020,2020-02-05,2954844,15.37,120,Home Loan,48343,DELINQUENT
LN12873,CUST02809,2022-06-16,436527,9.46,240,Auto Loan,4057,ACTIVE
LN12874,CUST06459,2020-12-17,1402809,14.83,12,Personal Loan,126502,ACTIVE
LN12875,CUST08294,2021-06-03,1262956,8.72,60,Personal Loan,26045,ACTIVE
